File,Start Line,End Line,Api,Type,Tips
core/models/model_factory.py,46,46,torch.optim.Adam,SUPPORTED,"The corresponding api of ""torch.optim.Adam"" is ""mindspore.nn.Adam"", will be converted to ""optim_register.adam"" by x2mindspore."
core/models/model_factory.py,49,49,torch.nn.MSELoss,SUPPORTED,"The corresponding api of ""torch.nn.MSELoss"" is ""mindspore.nn.MSELoss"", will be converted to ""x2ms_nn.MSELoss"" by x2mindspore."
core/models/model_factory.py,51,51,torch.nn.L1Loss,SUPPORTED,"The corresponding api of ""torch.nn.L1Loss"" is ""mindspore.nn.L1Loss"", will be converted to ""x2ms_nn.L1Loss"" by x2mindspore."
core/models/model_factory.py,85,85,torch.device,SUPPORTED,"""torch.device"" has no corresponding api in MindSpore, will be converted to adapted api ""x2ms_adapter.Device"" by x2mindspore."
core/models/model_factory.py,85,85,torch.cuda.is_available,SUPPORTED,"""torch.cuda.is_available"" has no corresponding api in MindSpore, will be converted to adapted api ""x2ms_adapter.is_cuda_available"" by x2mindspore."
core/models/model_factory.py,86,86,torch.FloatTensor,SUPPORTED,"""torch.FloatTensor"" has no corresponding api in MindSpore, will be converted to adapted api ""x2ms_adapter.FloatTensor"" by x2mindspore."
core/models/model_factory.py,87,87,torch.FloatTensor,SUPPORTED,"""torch.FloatTensor"" has no corresponding api in MindSpore, will be converted to adapted api ""x2ms_adapter.FloatTensor"" by x2mindspore."
core/models/model_factory.py,139,139,torch.FloatTensor,SUPPORTED,"""torch.FloatTensor"" has no corresponding api in MindSpore, will be converted to adapted api ""x2ms_adapter.FloatTensor"" by x2mindspore."
core/models/model_factory.py,140,140,torch.FloatTensor,SUPPORTED,"""torch.FloatTensor"" has no corresponding api in MindSpore, will be converted to adapted api ""x2ms_adapter.FloatTensor"" by x2mindspore."
core/models/predict.py,21,21,torch.nn.Module,SUPPORTED,"The corresponding api of ""torch.nn.Module"" is ""mindspore.nn.Cell"", will be converted to ""nn.Cell"" by x2mindspore."
core/models/predict.py,39,39,torch.nn.ModuleList,SUPPORTED,"The corresponding api of ""torch.nn.ModuleList"" is ""mindspore.nn.CellList"", will be converted to ""x2ms_nn.ModuleList"" by x2mindspore."
core/models/predict.py,40,40,torch.nn.Conv2d,SUPPORTED,"The corresponding api of ""torch.nn.Conv2d"" is ""mindspore.nn.Conv2d"", will be converted to ""x2ms_nn.Conv2d"" by x2mindspore."
core/models/predict.py,59,59,torch.zeros,SUPPORTED,"The corresponding api of ""torch.zeros"" is ""mindspore.ops.Zeros"", will be converted to ""x2ms_adapter.zeros"" by x2mindspore."
core/models/predict.py,82,82,torch.stack,SUPPORTED,"The corresponding api of ""torch.stack"" is ""mindspore.ops.Stack"", will be converted to ""x2ms_adapter.stack"" by x2mindspore."
core/models/predict.py,86,86,torch.nn.Module,SUPPORTED,"The corresponding api of ""torch.nn.Module"" is ""mindspore.nn.Cell"", will be converted to ""nn.Cell"" by x2mindspore."
core/models/predict.py,104,104,torch.nn.ModuleList,SUPPORTED,"The corresponding api of ""torch.nn.ModuleList"" is ""mindspore.nn.CellList"", will be converted to ""x2ms_nn.ModuleList"" by x2mindspore."
core/models/predict.py,105,105,torch.nn.Conv2d,SUPPORTED,"The corresponding api of ""torch.nn.Conv2d"" is ""mindspore.nn.Conv2d"", will be converted to ""x2ms_nn.Conv2d"" by x2mindspore."
core/models/predict.py,124,124,torch.zeros,SUPPORTED,"The corresponding api of ""torch.zeros"" is ""mindspore.ops.Zeros"", will be converted to ""x2ms_adapter.zeros"" by x2mindspore."
core/models/predict.py,129,129,torch.zeros,SUPPORTED,"The corresponding api of ""torch.zeros"" is ""mindspore.ops.Zeros"", will be converted to ""x2ms_adapter.zeros"" by x2mindspore."
core/models/predict.py,148,148,torch.stack,SUPPORTED,"The corresponding api of ""torch.stack"" is ""mindspore.ops.Stack"", will be converted to ""x2ms_adapter.stack"" by x2mindspore."
core/models/predict.py,152,152,torch.nn.Module,SUPPORTED,"The corresponding api of ""torch.nn.Module"" is ""mindspore.nn.Cell"", will be converted to ""nn.Cell"" by x2mindspore."
core/models/predict.py,185,185,torch.nn.ModuleList,SUPPORTED,"The corresponding api of ""torch.nn.ModuleList"" is ""mindspore.nn.CellList"", will be converted to ""x2ms_nn.ModuleList"" by x2mindspore."
core/models/predict.py,186,186,torch.nn.Conv2d,SUPPORTED,"The corresponding api of ""torch.nn.Conv2d"" is ""mindspore.nn.Conv2d"", will be converted to ""x2ms_nn.Conv2d"" by x2mindspore."
core/models/predict.py,211,211,torch.zeros,SUPPORTED,"The corresponding api of ""torch.zeros"" is ""mindspore.ops.Zeros"", will be converted to ""x2ms_adapter.zeros"" by x2mindspore."
core/models/predict.py,215,215,torch.zeros,SUPPORTED,"The corresponding api of ""torch.zeros"" is ""mindspore.ops.Zeros"", will be converted to ""x2ms_adapter.zeros"" by x2mindspore."
core/models/predict.py,218,218,torch.zeros,SUPPORTED,"The corresponding api of ""torch.zeros"" is ""mindspore.ops.Zeros"", will be converted to ""x2ms_adapter.zeros"" by x2mindspore."
core/models/predict.py,249,249,torch.stack,SUPPORTED,"The corresponding api of ""torch.stack"" is ""mindspore.ops.Stack"", will be converted to ""x2ms_adapter.stack"" by x2mindspore."
core/models/predict.py,256,256,torch.nn.Module,SUPPORTED,"The corresponding api of ""torch.nn.Module"" is ""mindspore.nn.Cell"", will be converted to ""nn.Cell"" by x2mindspore."
core/models/predict.py,274,274,torch.nn.ModuleList,SUPPORTED,"The corresponding api of ""torch.nn.ModuleList"" is ""mindspore.nn.CellList"", will be converted to ""x2ms_nn.ModuleList"" by x2mindspore."
core/models/predict.py,275,275,torch.nn.Conv2d,SUPPORTED,"The corresponding api of ""torch.nn.Conv2d"" is ""mindspore.nn.Conv2d"", will be converted to ""x2ms_nn.Conv2d"" by x2mindspore."
core/models/predict.py,294,294,torch.zeros,SUPPORTED,"The corresponding api of ""torch.zeros"" is ""mindspore.ops.Zeros"", will be converted to ""x2ms_adapter.zeros"" by x2mindspore."
core/models/predict.py,317,317,torch.stack,SUPPORTED,"The corresponding api of ""torch.stack"" is ""mindspore.ops.Stack"", will be converted to ""x2ms_adapter.stack"" by x2mindspore."
core/models/predict.py,321,321,torch.nn.Module,SUPPORTED,"The corresponding api of ""torch.nn.Module"" is ""mindspore.nn.Cell"", will be converted to ""nn.Cell"" by x2mindspore."
core/models/predict.py,339,339,torch.nn.ModuleList,SUPPORTED,"The corresponding api of ""torch.nn.ModuleList"" is ""mindspore.nn.CellList"", will be converted to ""x2ms_nn.ModuleList"" by x2mindspore."
core/models/predict.py,340,340,torch.nn.Conv2d,SUPPORTED,"The corresponding api of ""torch.nn.Conv2d"" is ""mindspore.nn.Conv2d"", will be converted to ""x2ms_nn.Conv2d"" by x2mindspore."
